0	,Reject
1	,Reject
00	,Reject
01	,Reject
10	,Reject
11	,Reject
000	,Accept
001	,Reject
010	,Reject
011	,Reject
100	,Reject
101	,Reject
110	,Reject
111	,Reject
0000	,Accept
0001	,Accept
0010	,Reject
0011	,Reject
0100	,Reject
0101	,Reject
0110	,Reject
0111	,Reject
1000	,Accept
1001	,Reject
1010	,Reject
1011	,Reject
1100	,Reject
1101	,Reject
1110	,Reject
1111	,Reject
00000	,Accept
00001	,Accept
00010	,Accept
00011	,Accept
00100	,Reject
00101	,Reject
00110	,Reject
00111	,Reject
01000	,Accept
01001	,Reject
01010	,Reject
01011	,Reject
01100	,Reject
01101	,Reject
01110	,Reject
01111	,Reject
10000	,Accept
10001	,Accept
10010	,Reject
10011	,Reject
10100	,Reject
10101	,Reject
10110	,Reject
10111	,Reject
11000	,Accept
11001	,Reject
11010	,Reject
11011	,Reject
11100	,Reject
11101	,Reject
11110	,Reject
11111	,Reject
000000	,Accept
000001	,Accept
000010	,Accept
000011	,Accept
000100	,Accept
000101	,Accept
000110	,Accept
000111	,Accept
001000	,Accept
001001	,Reject
001010	,Reject
001011	,Reject
001100	,Reject
001101	,Reject
001110	,Reject
001111	,Reject
010000	,Accept
010001	,Accept
010010	,Reject
010011	,Reject
010100	,Reject
010101	,Reject
010110	,Reject
010111	,Reject
011000	,Accept
011001	,Reject
011010	,Reject
011011	,Reject
011100	,Reject
011101	,Reject
011110	,Reject
011111	,Reject
100000	,Accept
100001	,Accept
100010	,Accept
100011	,Accept
100100	,Reject
100101	,Reject
100110	,Reject
100111	,Reject
101000	,Accept
101001	,Reject
101010	,Reject
101011	,Reject
101100	,Reject
101101	,Reject
101110	,Reject
101111	,Reject
110000	,Accept
110001	,Accept
110010	,Reject
110011	,Reject
110100	,Reject
110101	,Reject
110110	,Reject
110111	,Reject
111000	,Accept
111001	,Reject
111010	,Reject
111011	,Reject
111100	,Reject
111101	,Reject
111110	,Reject
111111	,Reject
0000000	,Accept
0000001	,Accept
0000010	,Accept
0000011	,Accept
0000100	,Accept
0000101	,Accept
0000110	,Accept
0000111	,Accept
0001000	,Accept
0001001	,Accept
0001010	,Accept
0001011	,Accept
0001100	,Accept
0001101	,Accept
0001110	,Accept
0001111	,Accept
0010000	,Accept
0010001	,Accept
0010010	,Reject
0010011	,Reject
0010100	,Reject
0010101	,Reject
0010110	,Reject
0010111	,Reject
0011000	,Accept
0011001	,Reject
0011010	,Reject
0011011	,Reject
0011100	,Reject
0011101	,Reject
0011110	,Reject
0011111	,Reject
0100000	,Accept
0100001	,Accept
0100010	,Accept
0100011	,Accept
0100100	,Reject
0100101	,Reject
0100110	,Reject
0100111	,Reject
0101000	,Accept
0101001	,Reject
0101010	,Reject
0101011	,Reject
0101100	,Reject
0101101	,Reject
0101110	,Reject
0101111	,Reject
0110000	,Accept
0110001	,Accept
0110010	,Reject
0110011	,Reject
0110100	,Reject
0110101	,Reject
0110110	,Reject
0110111	,Reject
0111000	,Accept
0111001	,Reject
0111010	,Reject
0111011	,Reject
0111100	,Reject
0111101	,Reject
0111110	,Reject
0111111	,Reject
1000000	,Accept
1000001	,Accept
1000010	,Accept
1000011	,Accept
1000100	,Accept
1000101	,Accept
1000110	,Accept
1000111	,Accept
1001000	,Accept
1001001	,Reject
